project-id,location-id,date,time-intervals,direction-id,car,microbus,bus,truck,special vehicle,motorcycle,bicycle,total-vehicles,location-name,longitude,latitude,image-url
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,2.1,17,0,0,0,0,0,0,17,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,3.1,360,10,5,2,0,4,0,381,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,3.2,22,0,0,0,0,0,0,22,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,3.3,28,1,0,0,0,0,0,29,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,3.4,53,1,0,1,0,0,0,55,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,3.5,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,3.6,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:15 - 09:30,3.7,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.1,13,4,0,0,0,0,0,17,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.2,363,6,8,1,0,3,0,381,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.3,34,0,0,0,0,1,0,35,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.4,30,0,0,0,0,1,0,31,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.5,53,1,0,0,0,0,0,54,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.6,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.7,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:30 - 09:45,3.8,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.1,22,2,0,0,0,0,0,24,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.2,403,5,8,4,0,7,0,427,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.3,36,0,0,0,0,0,0,36,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.4,25,0,0,0,0,0,0,25,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.5,70,1,0,0,0,1,0,72,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
Tamarashvili,Loc3,2/27/24,09:45 - 10:00,3.6,0,0,0,0,0,0,0,0,Location 3,44.7459343,41.7208228,https://drive.google.com/file/d/1ojYgLrwrHyKAI1btLEbdApKrx0RQ0KeW/view?usp=sharing
