Project ID,Date,Time Interval,Direction ID,Car,Microbus,Bus,Truck,Special vehicular,Motorcycle,Bicycle,Total Vehicles,ID,Name,LONG,LAT,URL
Tamarashvili,2/27/24,09:00 - 10:00,5.2,1453,21,9,9,0,9,1,1502,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,5.3,55,0,0,0,0,1,0,56,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,5.4,1176,30,0,9,1,10,0,1226,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,5.5,756,15,10,3,0,11,0,795,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,5.1,85,1,0,2,0,8,1,97,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,5.2,1410,20,11,4,2,33,0,1480,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,5.3,49,0,0,0,0,2,0,51,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,5.4,1084,16,0,1,6,39,0,1146,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,18:00 - 19:00,5.5,711,10,7,2,0,32,3,765,Loc5,Location 5,44.7510955,41.7218218,https://drive.google.com/file/d/1_VSXRGJFXkqd39grYuEs82b92gZ6fzY7/view?usp=drive_link
Tamarashvili,2/27/24,09:00 - 10:00,6.1,701,14,10,5,0,7,0,737,Loc6,Location 6,44.7570196,41.7212417,https://drive.google.com/file/d/1FOANpU957qRYEdt30ZeyugeX73sr2zhm/view?usp=drive_link
